date,store_id,product_id,actual_sales
2023-05-01,S001,P001,170
2023-05-02,S001,P001,168
2023-05-03,S001,P001,168
2023-05-04,S001,P001,153
2023-05-05,S001,P001,143
2023-05-06,S001,P001,148
2023-05-07,S001,P001,184
2023-05-08,S001,P001,189
2023-05-09,S001,P001,195
2023-05-10,S001,P001,187
2023-05-11,S001,P001,158
2023-05-12,S001,P001,157
2023-05-13,S001,P001,152
2023-05-14,S001,P001,161
2023-05-15,S001,P001,158
2023-05-16,S001,P001,166
2023-05-17,S001,P001,157
2023-05-18,S001,P001,156
2023-05-19,S001,P001,152
2023-05-20,S001,P001,153
2023-05-21,S001,P001,182
2023-05-22,S001,P001,199
2023-05-23,S001,P001,186
2023-05-24,S001,P001,182
2023-05-25,S001,P001,162
2023-05-26,S001,P001,148
2023-05-27,S001,P001,149
2023-05-28,S001,P001,168
2023-05-29,S001,P001,169
2023-05-30,S001,P001,164
2023-05-31,S001,P001,163
2023-06-01,S001,P001,163
2023-06-02,S001,P001,154
2023-06-03,S001,P001,158
2023-06-04,S001,P001,187
2023-06-05,S001,P001,194
2023-06-06,S001,P001,192
2023-06-07,S001,P001,187
2023-06-08,S001,P001,156
2023-06-09,S001,P001,154
2023-06-10,S001,P001,151
2023-06-11,S001,P001,159
2023-06-12,S001,P001,164
2023-06-13,S001,P001,167
2023-06-14,S001,P001,157
2023-06-15,S001,P001,166
2023-06-16,S001,P001,148
2023-06-17,S001,P001,151
2023-06-18,S001,P001,180
2023-06-19,S001,P001,192
2023-06-20,S001,P001,191
2023-06-21,S001,P001,183
2023-06-22,S001,P001,158
2023-06-23,S001,P001,154
2023-06-24,S001,P001,152
2023-06-25,S001,P001,156
2023-06-26,S001,P001,174
2023-06-27,S001,P001,168
2023-06-28,S001,P001,157
2023-06-29,S001,P001,161
2023-05-01,S001,P002,150
2023-05-02,S001,P002,149
2023-05-03,S001,P002,152
2023-05-04,S001,P002,136
2023-05-05,S001,P002,135
2023-05-06,S001,P002,135
2023-05-07,S001,P002,174
2023-05-08,S001,P002,175
2023-05-09,S001,P002,180
2023-05-10,S001,P002,166
2023-05-11,S001,P002,141
2023-05-12,S001,P002,139
2023-05-13,S001,P002,137
2023-05-14,S001,P002,147
2023-05-15,S001,P002,147
2023-05-16,S001,P002,157
2023-05-17,S001,P002,156
2023-05-18,S001,P002,138
2023-05-19,S001,P002,134
2023-05-20,S001,P002,143
2023-05-21,S001,P002,174
2023-05-22,S001,P002,172
2023-05-23,S001,P002,174
2023-05-24,S001,P002,170
2023-05-25,S001,P002,134
2023-05-26,S001,P002,132
2023-05-27,S001,P002,133
2023-05-28,S001,P002,140
2023-05-29,S001,P002,149
2023-05-30,S001,P002,152
2023-05-31,S001,P002,153
2023-06-01,S001,P002,136
2023-06-02,S001,P002,139
2023-06-03,S001,P002,136
2023-06-04,S001,P002,168
2023-06-05,S001,P002,177
2023-06-06,S001,P002,171
2023-06-07,S001,P002,173
2023-06-08,S001,P002,140
2023-06-09,S001,P002,137
2023-06-10,S001,P002,138
2023-06-11,S001,P002,153
2023-06-12,S001,P002,147
2023-06-13,S001,P002,149
2023-06-14,S001,P002,144
2023-06-15,S001,P002,137
2023-06-16,S001,P002,133
2023-06-17,S001,P002,142
2023-06-18,S001,P002,174
2023-06-19,S001,P002,172
2023-06-20,S001,P002,173
2023-06-21,S001,P002,173
2023-06-22,S001,P002,137
2023-06-23,S001,P002,138
2023-06-24,S001,P002,138
2023-06-25,S001,P002,137
2023-06-26,S001,P002,156
2023-06-27,S001,P002,158
2023-06-28,S001,P002,144
2023-06-29,S001,P002,138
2023-05-01,S002,P001,109
2023-05-02,S002,P001,108
2023-05-03,S002,P001,101
2023-05-04,S002,P001,102
2023-05-05,S002,P001,92
2023-05-06,S002,P001,95
2023-05-07,S002,P001,128
