date,store_id,product_id,sales,price,promotion_flag,inventory_level
2023-01-01,S001,P001,125,14.74,1,800
2023-01-02,S001,P001,126,14.74,1,798
2023-01-03,S001,P001,126,14.74,1,796
2023-01-04,S001,P001,110,16.37,0,794
2023-01-05,S001,P001,94,16.37,0,792
2023-01-06,S001,P001,86,16.37,0,790
2023-01-07,S001,P001,88,16.37,0,788
2023-01-08,S001,P001,96,16.37,0,786
2023-01-09,S001,P001,102,16.37,0,784
2023-01-10,S001,P001,106,16.37,0,782
2023-01-11,S001,P001,102,16.37,0,780
2023-01-12,S001,P001,95,16.37,0,778
2023-01-13,S001,P001,96,16.37,0,776
2023-01-14,S001,P001,97,16.37,0,774
2023-01-15,S001,P001,88,16.37,0,772
2023-01-16,S001,P001,106,16.37,0,770
2023-01-17,S001,P001,104,16.37,0,768
2023-01-18,S001,P001,100,16.37,0,766
2023-01-19,S001,P001,88,16.37,0,764
2023-01-20,S001,P001,96,16.37,0,762
2023-01-21,S001,P001,91,16.37,0,760
2023-01-22,S001,P001,99,16.37,0,758
2023-01-23,S001,P001,105,16.37,0,756
2023-01-24,S001,P001,109,16.37,0,754
2023-01-25,S001,P001,100,16.37,0,752
2023-01-26,S001,P001,94,16.37,0,750
2023-01-27,S001,P001,90,16.37,0,748
2023-01-28,S001,P001,94,16.37,0,746
2023-01-29,S001,P001,122,14.74,1,744
2023-01-30,S001,P001,129,14.74,1,742
2023-01-31,S001,P001,127,14.74,1,740
2023-02-01,S001,P001,98,16.37,0,738
2023-02-02,S001,P001,98,16.37,0,736
2023-02-03,S001,P001,96,16.37,0,734
2023-02-04,S001,P001,90,16.37,0,732
2023-02-05,S001,P001,99,16.37,0,730
2023-02-06,S001,P001,99,16.37,0,728
2023-02-07,S001,P001,104,16.37,0,726
2023-02-08,S001,P001,99,16.37,0,724
2023-02-09,S001,P001,100,16.37,0,722
2023-02-10,S001,P001,91,16.37,0,720
2023-02-11,S001,P001,86,16.37,0,718
2023-02-12,S001,P001,89,16.37,0,716
2023-02-13,S001,P001,100,16.37,0,714
2023-02-14,S001,P001,106,16.37,0,712
2023-02-15,S001,P001,102,16.37,0,710
2023-02-16,S001,P001,97,16.37,0,708
2023-02-17,S001,P001,82,16.37,0,706
2023-02-18,S001,P001,94,16.37,0,704
2023-02-19,S001,P001,98,16.37,0,702
2023-02-20,S001,P001,106,16.37,0,700
2023-02-21,S001,P001,108,16.37,0,698
2023-02-22,S001,P001,110,16.37,0,696
2023-02-23,S001,P001,98,16.37,0,694
2023-02-24,S001,P001,90,16.37,0,692
2023-02-25,S001,P001,93,16.37,0,690
2023-02-26,S001,P001,119,14.74,1,688
2023-02-27,S001,P001,125,14.74,1,686
2023-02-28,S001,P001,123,14.74,1,684
2023-03-01,S001,P001,96,16.37,0,682
2023-03-02,S001,P001,97,16.37,0,680
2023-03-03,S001,P001,86,16.37,0,678
2023-03-04,S001,P001,93,16.37,0,676
2023-03-05,S001,P001,103,16.37,0,674
2023-03-06,S001,P001,105,16.37,0,672
2023-03-07,S001,P001,108,16.37,0,670
2023-03-08,S001,P001,97,16.37,0,668
2023-03-09,S001,P001,94,16.37,0,666
2023-03-10,S001,P001,96,16.37,0,664
2023-03-11,S001,P001,87,16.37,0,662
2023-03-12,S001,P001,101,16.37,0,660
2023-03-13,S001,P001,111,16.37,0,658
2023-03-14,S001,P001,107,16.37,0,656
2023-03-15,S001,P001,94,16.37,0,654
2023-03-16,S001,P001,95,16.37,0,652
2023-03-17,S001,P001,89,16.37,0,650
2023-03-18,S001,P001,93,16.37,0,648
2023-03-19,S001,P001,100,16.37,0,646
2023-03-20,S001,P001,101,16.37,0,644
2023-03-21,S001,P001,102,16.37,0,642
2023-03-22,S001,P001,100,16.37,0,640
2023-03-23,S001,P001,90,16.37,0,638
2023-03-24,S001,P001,90,16.37,0,636
2023-03-25,S001,P001,91,16.37,0,634
2023-03-26,S001,P001,133,14.74,1,632
2023-03-27,S001,P001,125,14.74,1,630
2023-03-28,S001,P001,127,14.74,1,628
2023-03-29,S001,P001,103,16.37,0,626
2023-03-30,S001,P001,98,16.37,0,624
2023-03-31,S001,P001,99,16.37,0,622
2023-04-01,S001,P001,98,16.37,0,620
2023-04-02,S001,P001,101,16.37,0,618
2023-04-03,S001,P001,105,16.37,0,616
2023-04-04,S001,P001,109,16.37,0,614
2023-04-05,S001,P001,99,16.37,0,612
2023-04-06,S001,P001,93,16.37,0,610
2023-04-07,S001,P001,84,16.37,0,608
2023-04-08,S001,P001,90,16.37,0,606
2023-04-09,S001,P001,101,16.37,0,604
2023-04-10,S001,P001,103,16.37,0,602
2023-04-11,S001,P001,102,16.37,0,600
2023-04-12,S001,P001,100,16.37,0,598
2023-04-13,S001,P001,97,16.37,0,596
2023-04-14,S001,P001,89,16.37,0,594
2023-04-15,S001,P001,95,16.37,0,592
2023-04-16,S001,P001,92,16.37,0,590
2023-04-17,S001,P001,100,16.37,0,588
2023-04-18,S001,P001,103,16.37,0,586
2023-04-19,S001,P001,96,16.37,0,584
2023-04-20,S001,P001,106,16.37,0,582
2023-04-21,S001,P001,85,16.37,0,580
2023-04-22,S001,P001,95,16.37,0,578
2023-04-23,S001,P001,120,14.74,1,576
2023-04-24,S001,P001,127,14.74,1,574
2023-04-25,S001,P001,132,14.74,1,572
2023-04-26,S001,P001,95,16.37,0,570
2023-04-27,S001,P001,91,16.37,0,568
2023-04-28,S001,P001,89,16.37,0,566
2023-04-29,S001,P001,88,16.37,0,564
2023-04-30,S001,P001,94,16.37,0,562
2023-01-01,S001,P002,118,12.58,1,800
2023-01-02,S001,P002,125,12.58,1,798
2023-01-03,S001,P002,131,12.58,1,796
2023-01-04,S001,P002,99,13.98,0,794
2023-01-05,S001,P002,91,13.98,0,792
2023-01-06,S001,P002,90,13.98,0,790
2023-01-07,S001,P002,93,13.98,0,788
2023-01-08,S001,P002,96,13.98,0,786
2023-01-09,S001,P002,101,13.98,0,784
2023-01-10,S001,P002,104,13.98,0,782
2023-01-11,S001,P002,102,13.98,0,780
2023-01-12,S001,P002,94,13.98,0,778
2023-01-13,S001,P002,93,13.98,0,776
2023-01-14,S001,P002,87,13.98,0,774
2023-01-15,S001,P002,94,13.98,0,772
2023-01-16,S001,P002,107,13.98,0,770
2023-01-17,S001,P002,102,13.98,0,768
2023-01-18,S001,P002,107,13.98,0,766
2023-01-19,S001,P002,100,13.98,0,764
2023-01-20,S001,P002,95,13.98,0,762
2023-01-21,S001,P002,88,13.98,0,760
2023-01-22,S001,P002,98,13.98,0,758
2023-01-23,S001,P002,102,13.98,0,756
2023-01-24,S001,P002,109,13.98,0,754
2023-01-25,S001,P002,108,13.98,0,752
2023-01-26,S001,P002,98,13.98,0,750
2023-01-27,S001,P002,90,13.98,0,748
2023-01-28,S001,P002,90,13.98,0,746
2023-01-29,S001,P002,125,12.58,1,744
2023-01-30,S001,P002,124,12.58,1,742
2023-01-31,S001,P002,132,12.58,1,740
2023-02-01,S001,P002,97,13.98,0,738
2023-02-02,S001,P002,97,13.98,0,736
2023-02-03,S001,P002,89,13.98,0,734
2023-02-04,S001,P002,90,13.98,0,732
2023-02-05,S001,P002,94,13.98,0,730
2023-02-06,S001,P002,102,13.98,0,728
2023-02-07,S001,P002,108,13.98,0,726
2023-02-08,S001,P002,105,13.98,0,724
2023-02-09,S001,P002,96,13.98,0,722
2023-02-10,S001,P002,95,13.98,0,720
2023-02-11,S001,P002,101,13.98,0,718
2023-02-12,S001,P002,96,13.98,0,716
2023-02-13,S001,P002,103,13.98,0,714
2023-02-14,S001,P002,100,13.98,0,712
2023-02-15,S001,P002,106,13.98,0,710
2023-02-16,S001,P002,99,13.98,0,708
2023-02-17,S001,P002,86,13.98,0,706
2023-02-18,S001,P002,94,13.98,0,704
2023-02-19,S001,P002,102,13.98,0,702
2023-02-20,S001,P002,105,13.98,0,700
2023-02-21,S001,P002,109,13.98,0,698
2023-02-22,S001,P002,102,13.98,0,696
2023-02-23,S001,P002,89,13.98,0,694
2023-02-24,S001,P002,94,13.98,0,692
2023-02-25,S001,P002,97,13.98,0,690
2023-02-26,S001,P002,125,12.58,1,688
2023-02-27,S001,P002,125,12.58,1,686
2023-02-28,S001,P002,127,12.58,1,684
2023-03-01,S001,P002,96,13.98,0,682
2023-03-02,S001,P002,97,13.98,0,680
2023-03-03,S001,P002,95,13.98,0,678
2023-03-04,S001,P002,93,13.98,0,676
2023-03-05,S001,P002,101,13.98,0,674
2023-03-06,S001,P002,100,13.98,0,672
2023-03-07,S001,P002,106,13.98,0,670
2023-03-08,S001,P002,95,13.98,0,668
2023-03-09,S001,P002,91,13.98,0,666
2023-03-10,S001,P002,93,13.98,0,664
2023-03-11,S001,P002,90,13.98,0,662
2023-03-12,S001,P002,102,13.98,0,660
2023-03-13,S001,P002,106,13.98,0,658
2023-03-14,S001,P002,116,13.98,0,656
2023-03-15,S001,P002,101,13.98,0,654
2023-03-16,S001,P002,88,13.98,0,652
2023-03-17,S001,P002,90,13.98,0,650
2023-03-18,S001,P002,87,13.98,0,648
2023-03-19,S001,P002,101,13.98,0,646
2023-03-20,S001,P002,104,13.98,0,644
2023-03-21,S001,P002,105,13.98,0,642
2023-03-22,S001,P002,100,13.98,0,640
2023-03-23,S001,P002,97,13.98,0,638
2023-03-24,S001,P002,88,13.98,0,636
2023-03-25,S001,P002,94,13.98,0,634
2023-03-26,S001,P002,127,12.58,1,632
2023-03-27,S001,P002,127,12.58,1,630
2023-03-28,S001,P002,127,12.58,1,628
2023-03-29,S001,P002,99,13.98,0,626
2023-03-30,S001,P002,97,13.98,0,624
2023-03-31,S001,P002,90,13.98,0,622
2023-04-01,S001,P002,94,13.98,0,620
2023-04-02,S001,P002,105,13.98,0,618
2023-04-03,S001,P002,105,13.98,0,616
2023-04-04,S001,P002,102,13.98,0,614
2023-04-05,S001,P002,105,13.98,0,612
2023-04-06,S001,P002,94,13.98,0,610
2023-04-07,S001,P002,93,13.98,0,608
2023-04-08,S001,P002,96,13.98,0,606
2023-04-09,S001,P002,94,13.98,0,604
2023-04-10,S001,P002,109,13.98,0,602
2023-04-11,S001,P002,109,13.98,0,600
2023-04-12,S001,P002,99,13.98,0,598
2023-04-13,S001,P002,95,13.98,0,596
2023-04-14,S001,P002,91,13.98,0,594
2023-04-15,S001,P002,91,13.98,0,592
2023-04-16,S001,P002,101,13.98,0,590
2023-04-17,S001,P002,110,13.98,0,588
2023-04-18,S001,P002,105,13.98,0,586
2023-04-19,S001,P002,106,13.98,0,584
2023-04-20,S001,P002,98,13.98,0,582
2023-04-21,S001,P002,91,13.98,0,580
2023-04-22,S001,P002,92,13.98,0,578
2023-04-23,S001,P002,118,12.58,1,576
2023-04-24,S001,P002,123,12.58,1,574
2023-04-25,S001,P002,131,12.58,1,572
2023-04-26,S001,P002,98,13.98,0,570
2023-04-27,S001,P002,94,13.98,0,568
2023-04-28,S001,P002,88,13.98,0,566
2023-04-29,S001,P002,84,13.98,0,564
2023-04-30,S001,P002,99,13.98,0,562
2023-01-01,S002,P001,143,15.19,1,800
2023-01-02,S002,P001,140,15.19,1,798
2023-01-03,S002,P001,153,15.19,1,796
2023-01-04,S002,P001,118,16.88,0,794
2023-01-05,S002,P001,118,16.88,0,792
2023-01-06,S002,P001,108,16.88,0,790
2023-01-07,S002,P001,109,16.88,0,788
2023-01-08,S002,P001,111,16.88,0,786
2023-01-09,S002,P001,120,16.88,0,784
2023-01-10,S002,P001,126,16.88,0,782
2023-01-11,S002,P001,115,16.88,0,780
2023-01-12,S002,P001,105,16.88,0,778
2023-01-13,S002,P001,105,16.88,0,776
2023-01-14,S002,P001,114,16.88,0,774
2023-01-15,S002,P001,124,16.88,0,772
2023-01-16,S002,P001,120,16.88,0,770
2023-01-17,S002,P001,118,16.88,0,768
2023-01-18,S002,P001,119,16.88,0,766
2023-01-19,S002,P001,114,16.88,0,764
2023-01-20,S002,P001,111,16.88,0,762
2023-01-21,S002,P001,119,16.88,0,760
2023-01-22,S002,P001,117,16.88,0,758
2023-01-23,S002,P001,129,16.88,0,756
2023-01-24,S002,P001,122,16.88,0,754
2023-01-25,S002,P001,120,16.88,0,752
2023-01-26,S002,P001,111,16.88,0,750
2023-01-27,S002,P001,106,16.88,0,748
2023-01-28,S002,P001,109,16.88,0,746
2023-01-29,S002,P001,140,15.19,1,744
2023-01-30,S002,P001,145,15.19,1,742
2023-01-31,S002,P001,147,15.19,1,740
2023-02-01,S002,P001,124,16.88,0,738
2023-02-02,S002,P001,121,16.88,0,736
2023-02-03,S002,P001,107,16.88,0,734
2023-02-04,S002,P001,109,16.88,0,732
2023-02-05,S002,P001,119,16.88,0,730
2023-02-06,S002,P001,136,16.88,0,728
2023-02-07,S002,P001,125,16.88,0,726
2023-02-08,S002,P001,124,16.88,0,724
2023-02-09,S002,P001,119,16.88,0,722
2023-02-10,S002,P001,110,16.88,0,720
2023-02-11,S002,P001,114,16.88,0,718
2023-02-12,S002,P001,119,16.88,0,716
2023-02-13,S002,P001,127,16.88,0,714
2023-02-14,S002,P001,120,16.88,0,712
2023-02-15,S002,P001,121,16.88,0,710
2023-02-16,S002,P001,115,16.88,0,708
2023-02-17,S002,P001,111,16.88,0,706
2023-02-18,S002,P001,115,16.88,0,704
2023-02-19,S002,P001,118,16.88,0,702
2023-02-20,S002,P001,118,16.88,0,700
2023-02-21,S002,P001,127,16.88,0,698
2023-02-22,S002,P001,116,16.88,0,696
2023-02-23,S002,P001,110,16.88,0,694
2023-02-24,S002,P001,107,16.88,0,692
2023-02-25,S002,P001,110,16.88,0,690
2023-02-26,S002,P001,135,15.19,1,688
2023-02-27,S002,P001,152,15.19,1,686
2023-02-28,S002,P001,145,15.19,1,684
2023-03-01,S002,P001,126,16.88,0,682
2023-03-02,S002,P001,109,16.88,0,680
2023-03-03,S002,P001,114,16.88,0,678
2023-03-04,S002,P001,110,16.88,0,676
2023-03-05,S002,P001,110,16.88,0,674
2023-03-06,S002,P001,119,16.88,0,672
2023-03-07,S002,P001,130,16.88,0,670
2023-03-08,S002,P001,122,16.88,0,668
2023-03-09,S002,P001,113,16.88,0,666
